---,TraitCategory,Tier,RequiredTraitId,traitName,description,reloadSpeedBonus,maxHPBonus,weaponDamageBonus,goldGainBonus,moveSpeedBonus,unlockGoldCost,icon
Trait_Attack_Damage,Attack,1,None,피해량,레벨당 모든 무기의 기본 피해량이 4% 증가합니다. 가장 기본이 되는 공격 특성입니다.,0.0,0,0.04,0.0,0.0,0,
Trait_Attack_Reload,Attack,2,Trait_Attack_Damage,전투 장전,레벨당 재장전 속도가 4% 증가하고 무기 피해량이 1% 증가합니다. 끊기지 않는 교전을 위한 특성입니다.,0.04,0,0.01,0.0,0.0,200,
Trait_Attack_GlassEdge,Attack,3,Trait_Attack_Reload,유리 칼날,레벨당 무기 피해량이 6% 증가하지만 최대 체력이 3 감소합니다. 빨리 죽이거나 먼저 죽는 공격형 특성입니다.,0.0,-3,0.06,0.0,0.0,500,
Trait_Attack_Bounty,Attack,4,Trait_Attack_GlassEdge,현상금 사냥,"레벨당 무기 피해량이 3%, 골드 획득량이 4% 증가합니다. 공격과 성장 속도를 함께 올립니다.",0.0,0,0.03,0.04,0.0,900,
Trait_Attack_Executioner,Attack,5,Trait_Attack_Bounty,처형자,레벨당 무기 피해량이 7% 증가하지만 이동 속도가 1% 감소합니다. 마지막까지 화력을 밀어붙이는 특성입니다.,0.0,0,0.07,0.0,-0.01,1400,
Trait_Survival_MaxHP,Survival,1,None,최대 체력,레벨당 최대 체력이 8 증가합니다. 실수를 한 번 더 버티기 위한 기본 생존 특성입니다.,0.0,8,0.0,0.0,0.0,0,
Trait_Survival_Endure,Survival,2,Trait_Survival_MaxHP,버티기,레벨당 최대 체력이 6 증가하지만 이동 속도가 0.5% 감소합니다. 회피보다 안정성을 선택하는 특성입니다.,0.0,6,0.0,0.0,-0.005,200,
Trait_Survival_Composure,Survival,3,Trait_Survival_Endure,전투 침착,레벨당 최대 체력이 4 증가하고 재장전 속도가 3% 증가합니다. 위기 상황에서 전투 지속력을 올립니다.,0.03,4,0.0,0.0,0.0,500,
Trait_Survival_IronBody,Survival,4,Trait_Survival_Composure,강철 몸,레벨당 최대 체력이 10 증가하지만 이동 속도가 1% 감소합니다. 느리지만 쉽게 쓰러지지 않습니다.,0.0,10,0.0,0.0,-0.01,900,
Trait_Survival_LastStand,Survival,5,Trait_Survival_IronBody,최후 저항,레벨당 최대 체력이 5 증가하고 무기 피해량이 3% 증가합니다. 오래 버틴 뒤 반격하는 생존형 마무리 특성입니다.,0.0,5,0.03,0.0,0.0,1400,
Trait_Mobility_MoveSpeed,Mobility,1,None,이동 속도,레벨당 이동 속도가 3% 증가합니다. 거리 조절과 회피를 위한 기본 기동 특성입니다.,0.0,0,0.0,0.0,0.03,0,
Trait_Mobility_QuickHands,Mobility,2,Trait_Mobility_MoveSpeed,빠른 손놀림,"레벨당 재장전 속도가 3%, 이동 속도가 1% 증가합니다. 빠르게 움직이며 장전을 이어갑니다.",0.03,0,0.0,0.0,0.01,200,
Trait_Mobility_Scout,Mobility,3,Trait_Mobility_QuickHands,정찰 본능,"레벨당 이동 속도가 1%, 골드 획득량이 4% 증가합니다. 더 많이 움직이고 더 빠르게 성장합니다.",0.0,0,0.0,0.04,0.01,500,
Trait_Mobility_Lightweight,Mobility,4,Trait_Mobility_Scout,경량화,레벨당 이동 속도가 4% 증가하지만 최대 체력이 4 감소합니다. 맞지 않는 플레이를 전제로 한 특성입니다.,0.0,-4,0.0,0.0,0.04,900,
Trait_Mobility_Hunter,Mobility,5,Trait_Mobility_Lightweight,사냥꾼의 리듬,"레벨당 이동 속도, 무기 피해량, 골드 획득량이 각각 2% 증가합니다. 기동과 성장, 화력을 모두 조금씩 끌어올립니다.",0.0,0,0.02,0.02,0.02,1400,
